"id","email_campaign_id","sent_action_id","contact_id","email_action_type","link","created_at","action_time","created_by","updated_by","updated_at"
"33731","1","api-wwLF1zXoLHySQRaGNFbnClrBelGZgDxT","6840","1","","2016-03-03 00:00:00","2016-03-03 14:19:46","1","",""
"33732","2","api-wwLF1zXoLHySQRaGNFbnClrBelGZgDxT","6840","1","","2016-03-03 00:00:00","2016-03-03 14:19:46","1","",""
"33733","3","80pignvg-38acdf82601e20f26e6de4790ac2f63f","1722","4","","2016-02-11 00:00:00","2016-02-11 11:51:11","1","",""
"33734","4","mps8hdht-c0afc702fd0130fc7b6c2c0c5077b741","1722","4","","2016-02-05 00:00:00","2016-02-05 07:00:05","1","",""
"33735","5","2yyt8lmk-0b6b3f5dd1c2bd2c074f19570852a4fd","5276","1","","2016-02-05 00:00:00","2016-02-05 14:40:21","1","",""
"33736","6","5rs448iv-c063470bc8e880ea803cdee41a6d599b","134","2","","2016-02-19 00:00:00","2016-02-19 10:10:30","1","",""
"33737","7","usnrkbyv-516fea943bcea4df1750e539f493d6d9","6898","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
"33738","8","usnrkbyv-516fea943bcea4df1750e539f493d6d9","6898","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
"33739","6","b1wn4dyr-77a66c8cb5477265ed0f395e07bd0e12","1722","4","","2016-02-25 00:00:00","2016-02-25 12:04:45","1","",""
"33740","9","16jax7e1-9d6f0719e464f709e478a7890d614ca4","493","2","","2016-02-05 00:00:00","2016-02-05 09:59:09","1","",""
"33741","10","2uwna3uv-7becd32c80b38392114a9c1044d3d2a7","3803","1","","2016-02-05 00:00:00","2016-02-05 14:11:23","1","",""
"33742","11","2uwna3uv-7becd32c80b38392114a9c1044d3d2a7","3803","1","","2016-02-05 00:00:00","2016-02-05 14:11:23","1","",""
"33743","12","7m5irsta-fc6ff487ffad3350d49c1022cf6648a7","4681","1","","2016-02-04 00:00:00","2016-02-04 14:57:36","1","",""
"33744","12","0b9svylv-3ed4effcbda9870b5c38a3b0f94ac84d","4409","1","","2016-02-11 00:00:00","2016-02-11 15:11:46","1","",""
"33745","5","xm8xjxfb-40fb9ae6c75d59850aa1e7f09e4ce5aa","5241","1","","2016-02-05 00:00:00","2016-02-05 14:32:58","1","",""
"33746","13","api-1J6DZINOW1En0Dsx53tyqwkHNqXuU9Ht","4366","1","","2016-03-03 00:00:00","2016-03-03 14:28:05","1","",""
"33747","9","jefuc3hd-eb6b23eadfa60751da94a2c5b278fef7","1722","4","","2016-02-05 00:00:00","2016-02-05 06:59:48","1","",""
"33748","12","j20gcge3-5e97ff157a01efb72cb0ad084d693f7f","4955","1","","2016-02-04 00:00:00","2016-02-04 14:58:55","1","",""
"33749","3","v07shfnb-7d89f140e64d9e373cec2eccf9c4cc49","134","2","","2016-02-26 00:00:00","2016-02-26 10:27:39","1","",""
"33750","9","v7c3ki1o-96e2b646a6574104a84c57a7a8ac1cfe","531","1","","2016-02-26 00:00:00","2016-02-26 10:16:37","1","",""
"33751","9","blw5jac7-413759ed2cb583ca087ba26bd5637575","5407","2","","2016-02-12 00:00:00","2016-02-12 13:18:54","1","",""
"33752","14","h99xixli-e2040e49abbbe5cae3f27d102c7739b0","1308","1","","2016-02-04 00:00:00","2016-02-04 14:59:39","1","",""
"33753","15","cuvgpknl-d7f4f42a89acc3732d030f2699d4b419","4675","1","","2016-02-04 00:00:00","2016-02-04 14:58:45","1","",""
"33754","9","bq7ul8ym-81a86d271f13d32d5fac3e9a459fef72","492","2","","2016-02-26 00:00:00","2016-02-26 10:15:02","1","",""
"33755","16","2uwna3uv-7becd32c80b38392114a9c1044d3d2a7","3803","1","","2016-02-05 00:00:00","2016-02-05 14:11:23","1","",""
"33756","14","e1lnbwkj-951876a5e7538c669f90b623a171d09c","2728","1","","2016-02-05 00:00:00","2016-02-05 14:37:03","1","",""
"33757","9","8df5babf-3d417e585ce853f356d04da361d6485f","547","2","","2016-02-12 00:00:00","2016-02-12 16:14:51","1","",""
"33758","12","f0ywh5fi-9e4ad2d2b1e2500d3cdd7dca9169e4cd","4637","1","","2016-02-05 00:00:00","2016-02-05 14:54:52","1","",""
"33759","15","6rs4u4w5-1601838697052c4fb5f0aeaf30ba39d7","4409","1","","2016-02-11 00:00:00","2016-02-11 14:35:54","1","",""
"33760","5","wy2lvdhd-7fafdbf2f017be8a3f19ef649d4bb21c","6925","1","","2016-02-05 00:00:00","2016-02-05 14:34:49","1","",""
"33761","14","a8uiqvhw-23ea5bf04615ce4f9c510667879982f4","7050","1","","2016-02-04 00:00:00","2016-02-04 14:57:36","1","",""
"33762","9","try25rr0-9620733585165b0aa43c5e47b2a25b3b","34","2","","2016-02-26 00:00:00","2016-02-26 12:17:24","1","",""
"33763","8","75imxb2w-d21aaff6c35df9ef99cdf1df237392d1","2757","2","","2016-02-05 00:00:00","2016-02-05 14:33:29","1","",""
"33764","15","3vjof1r5-efdf3b13dc4a4c9d9dbaf2ce73c2dd10","1308","1","","2016-02-05 00:00:00","2016-02-05 05:33:23","1","",""
"33765","7","75imxb2w-d21aaff6c35df9ef99cdf1df237392d1","2757","2","","2016-02-05 00:00:00","2016-02-05 14:33:29","1","",""
"33766","7","reb08b47-19419e94395598bc30012e6b729f6917","5278","1","","2016-02-05 00:00:00","2016-02-05 14:32:46","1","",""
"33767","14","ydpttgvv-77afecbe6fa768fc99db30126508f152","4637","1","","2016-02-05 00:00:00","2016-02-05 14:34:21","1","",""
